,number,coreid,refcode,name,mofid-v1,mofid-v2,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
0,1,2020[Cu][sql]2[ASR]1,10876_2020_1817_MOESM2_ESM_ASR_pacman,-,Nc1cnccc1c1ccncc1.[Cu] MOFid-v1.sql.cat1;10876_2020_1817_MOESM2_ESM_ASR_pacman,[Cu1_Type-1].[N][C][=C][N][=C][C][=C][Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.sql.cat1;10876_2020_1817_MOESM2_ESM_ASR_pacman,8.85794,5.7866,8.85794,0.578816,1360.43,2920.33,5045.35,0.0,0.0,0.0,3519.94,0.7556,1.30542,0.0,0.0,0.0,2,sql,unnamed,sql,unnamed,2,2,-P 2 2n,58,Cu,Yes,Cu,PACMAN-DDEC6,9.020958222,0.896209663,0.068390244,1.020818056,0.105506138,1.073200056,0.108659258,0.001769904,0.377276212,180,SI,10.1007/s10876-020-01817-4,2020,2020/5/25,Springer,All Solvent Removed,False,424,0.7112372,0.55,weak,
1,2,2015[Cu][nan]3[ASR]1,41467_2015_BFncomms7350_MOESM943_ESM_1_ASR_pacman,-,CC1=NN=C([N]1)CC1=[N]=C(N=N1)C.CC1=[N]=C(N=N1)CC1=[N]=C(N=N1)C.[Cu] MOFid-v1.unknown.cat0;41467_2015_BFncomms7350_MOESM943_ESM_1_ASR_pacman,unknown,6.31761,5.94846,6.3176,1.52436,677.299,1281.34,840.572,0.0,0.0,0.0,2758.17,0.5218,0.342307,0.0,0.0,0.0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Cu,Yes,Cu,PACMAN-DDEC6,13.18567913,0.757795845,0.019963537,0.837729007,0.04070271,0.924914944,0.040729635,0.001671191,0.25522975,368,SI,10.1038/ncomms7350,2015,2015/2/23,Nature,All Solvent Removed,False,398.9,0.549154,0.711904762,weak,
2,3,2017[Zr][nan]3[ASR]1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman,-,F[Zr](F)F.F[Zr]F.[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)([O])[O])(c1ccc(cc1)P(=O)([O])[O])c1ccc(cc1)P(=O)([O])[O])[O] MOFid-v1.unknown.cat0;41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman,[F2Zr1_Type-1].[F3Zr1_Type-1].[OH0][P][=Branch1][C][=O][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][C][OH0][OH0][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][C][OH0][OH0][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][P][=Branch1][C][=O][Branch1][C][OH0][OH0][OH0] MOFid-v2.UNKNOWN.cat0;41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman,12.00356,7.22815,8.46923,0.811156,2138.58,2468.65,3043.37,0.0,0.0,0.0,6429.66,0.7422,0.91499,0.0,0.0,0.0,3,unnamed,unnamed,unnamed,unnamed,1,3,-I 4,87,Zr,No,,PACMAN-DDEC6,15.55796491,0.734490771,0.020642573,0.79819189,0.030338756,0.85072403,0.040261048,0.001162333,0.38765249,272,SI,10.1038/ncomms15369,2017,2017/5/30,Nature,All Solvent Removed,True,412.5,0.67358696,0.67,none,
3,4,2015[Zn][hea]3[ASR]1,41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman,-,"[O-]C(=O)c1ccc(cc1)c1ccc(c2c1N[C](N2)c1ccc(cc1)[C]1Nc2c(N1)c(ccc2c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.hea,unknown.cat0;41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman","[C6O13Zn4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][=Branch1][=Branch1][C][=C][Ring1][=Branch1][N][CH0][Branch1][Ring2][N][Ring1][Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][CH0][N][C][=C][Branch1][Ring2][N][Ring1][Branch1][C][=Branch2][Ring1][Branch1][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.hea,UNKNOWN.cat0;41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman",11.61449,9.32322,10.52108,0.548186,6391.07,2407.33,4391.44,30.1796,11.3677,20.737,20808.6,0.7838,1.42981,0.0,0.0,0.0,3,hea,unnamed,unnamed,unnamed,1,3,"R 3 2""",155,Zn,Yes,Zn,PACMAN-DDEC6,10.66172467,0.839103286,0.042795997,0.953465445,0.060551185,1.0292085,0.073839331,0.001901052,0.275224172,822,SI,10.1038/NCHEM.2258,2015,2015/5/4,Nature,All Solvent Removed,False,357.9,0.65585876,0.47,weak,
4,5,2023[Al][nan]3[ASR]1,42004_2023_850_MOESM4_ESM_ASR_pacman,-,[Al].[O-]C(=O)c1ccc(o1)C(=O)[O-].[OH] MOFid-v1.unknown.cat0;42004_2023_850_MOESM4_ESM_ASR_pacman,[Al1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring2][O][Ring1][Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat0;42004_2023_850_MOESM4_ESM_ASR_pacman,5.59563,4.29059,5.52583,1.10771,336.332,1415.94,1278.26,0.0,0.0,0.0,1350.61,0.5686,0.513312,0.0,0.0,0.0,3,unnamed,unnamed,unnamed,unnamed,1,3,I 4bw 2bw -1bw,141,Al,No,,PACMAN-DDEC6,12.37912241,0.894683196,0.020325282,1.015439301,0.021720728,1.110684594,0.023286604,0.002160014,0.250930801,128,SI,10.1038/s42004-023-00850-4,2023,2023/3/24,Nature,All Solvent Removed,True,280.8,0.6186819,0.56,weak,
7,8,2016[Mn][tbo]3[ASR]1,ABAYIO_ASR_pacman,-,Cl[Mn][Mn]Cl.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.tbo.cat0;ABAYIO_ASR_pacman,[C4Cl2Mn2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.tbo.cat0;ABAYIO_ASR_pacman,11.38842,4.31824,11.38842,0.949119,680.107,1417.88,1493.89,196.372,409.395,431.342,3161.94,0.6592,0.694539,0.0,0.0,0.0,3,tbo,unnamed,tbo,unnamed,1,3,-F 4 2 3,225,Mn,No,,PACMAN-DDEC6,16.31919464,0.762982648,0.020024701,0.84140289,0.027271758,0.89059543,0.029765643,0.001276128,0.385015586,168,CSD,10.1021/acs.cgd.6b00776,2016,2016/11/22,ACS,All Solvent Removed,False,428.7,0.9187802,0.6025,superstrong_high_loading,
8,9,2016[Co][tbo]3[ASR]1,ABAYOU_ASR_pacman,-,Cl[Co][Co]Cl.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-] MOFid-v1.tbo.cat0;ABAYOU_ASR_pacman,[C4Cl2Co2O8_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.tbo.cat0;ABAYOU_ASR_pacman,11.24902,4.50636,11.24902,0.979263,705.344,1491.13,1522.7,197.608,417.752,426.598,3130.5,0.6618,0.675815,0.0,0.0,0.0,3,tbo,unnamed,tbo,unnamed,1,3,-F 4 2 3,225,Co,No,,PACMAN-DDEC6,16.6045625,0.738408678,0.011221114,0.813735687,0.022418827,0.85492443,0.026946553,0.001165158,0.394551134,168,CSD,10.1021/acs.cgd.6b00776,2016,2016/11/22,ACS,All Solvent Removed,False,335,0.8867805,0.4825,none,
10,11,2016[Cu][ubo]3[ASR]1,ABETIN_ASR_pacman,-,[Cu].n1ccc(cc1)c1cc(c2ccncc2)c(cc1c1ccncc1)c1ccncc1 MOFid-v1.ubo.cat0;ABETIN_ASR_pacman,[Cu1_Type-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][=C][Branch1][=Branch2][C][C][=C][N][=C][C][=Ring1][=Branch1][C][=Branch1][=N][=C][C][=Ring1][N][C][C][=C][N][=C][C][=Ring1][=Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.ubo.cat0;ABETIN_ASR_pacman,9.52206,7.85749,9.52206,0.597236,2282.61,2280.46,3818.36,0.0,0.0,0.0,7386.97,0.738,1.23569,0.0,0.0,0.0,3,ubo,unnamed,ubo,unnamed,1,3,I 4bw 2aw -1bw,142,Cu,No,,PACMAN-DDEC6,9.183549388,0.898510564,0.06271509,0.993272468,0.108596993,1.036009849,0.10420965,0.001374993,0.494683463,392,CSD,10.1039/C6RA10422C,2016,2016,RSC,All Solvent Removed,False,436.2,0.32425642,0.826666667,weak,
19,20,2021[Zn][pts]3[ASR]1,ABINIM_ASR_pacman,JOU-34,unknown,[C4O8Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][Branch1][S][C][C][=C][C][=Branch1][Branch1][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O-1][=C][C][C][Ring1][#C][=C][C][=C][C][=Ring1][=Branch1][C][Branch1][Branch1][C][=C][Ring1][#Branch2][=C][Branch2][Ring1][Ring2][C][=C][Ring1][Branch2][C][C][=C][C][=Branch1][Branch1][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.pts.cat0;ABINIM_ASR_pacman,7.25417,6.67134,7.25417,0.98391,421.356,1542.22,1567.43,0.0,0.0,0.0,1628.36,0.596,0.605746,0.0,0.0,0.0,3,pts,unnamed,pts,unnamed,1,3,-C 2yc,15,Zn,Yes,Zn,PACMAN-DDEC6,10.65000895,0.861421029,0.027267728,0.966280525,0.05618702,1.016813546,0.066666632,0.001553925,0.404297891,152,CSD,10.1016/j.poly.2021.115439,2021,2021/11/1,SciDirect,All Solvent Removed,False,349.1,0.8959291,0.31,weak,
23,24,2012[Cu][rob]3[ASR]1,ACAJIZ_ASR_pacman,-,[Cu][Cu].[O-]C(=O)CCCC(=O)[O-].n1ccc(cc1)CCc1ccncc1 MOFid-v1.rob.cat0;ACAJIZ_ASR_pacman,[C4Cu2O8_Type-1].[O-1][C][=Branch1][C][=O][C][C][C][C][=Branch1][C][=O][O-1].[N][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][C][=C][C][=N][C][=C][Ring1][=Branch1] MOFid-v2.rob.cat0;ACAJIZ_ASR_pacman,6.18649,5.74043,6.18649,1.30148,145.462,997.394,766.353,0.0,0.0,0.0,700.916,0.4806,0.369272,0.0,0.0,0.0,3,rob,unnamed,rob,unnamed,1,3,-C 2yc,15,Cu,No,,PACMAN-DDEC6,9.853906207,0.939731097,0.047452128,1.025651199,0.078900443,1.063833651,0.082092036,0.001241026,0.575379712,116,CSD,10.1039/c2dt31427d,2012,2012,RSC,All Solvent Removed,False,256,0.3226144,0.57022964,weak,
24,25,2012[Cu][rob]3[ASR]2,ACAJOF_ASR_pacman,-,C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-] MOFid-v1.rob.cat0;ACAJOF_ASR_pacman,[C4Cu2O8_Type-1].[C][Branch1][#Branch2][C][C][=C][C][=N][C][=C][Ring1][=Branch1][C][C][=C][C][=N][C][=C][Ring1][=Branch1].[O-1][C][=Branch1][C][=O][C][C][C][C][=Branch1][C][=O][O-1] MOFid-v2.rob.cat0;ACAJOF_ASR_pacman,6.86398,6.10482,6.86398,1.21871,359.349,1126.0,923.925,0.0,0.0,0.0,1637.18,0.513,0.420936,0.0,0.0,0.0,3,rob,unnamed,rob,unnamed,1,3,-P 2ab 2ac,56,Cu,No,,PACMAN-DDEC6,9.599231803,0.950533414,0.049696696,1.038056941,0.079584824,1.071732915,0.083838607,0.001211995,0.595909491,244,CSD,10.1039/c2dt31427d,2012,2012,RSC,All Solvent Removed,False,252.9,0.16940919,0.59022964,weak,
25,26,2015[Zn][dia]3[ASR]1,ACENIF_ASR_pacman,-,[O-]C(=O)C.[O]C(c1ccccn1)(c1ccccn1)[O].[Zn] MOFid-v1.unknown.cat0;ACENIF_ASR_pacman,unknown,5.47417,4.19168,5.46423,1.31333,402.271,1257.46,957.458,0.0,0.0,0.0,1669.91,0.522,0.397462,0.0,0.0,0.0,3,dia,unnamed,dia,unnamed,1,3,F 2 -2d,43,Zn,No,,PACMAN-DDEC6,11.71313889,0.844898412,0.034635821,0.912640462,0.069631209,0.961045287,0.074214338,0.001161469,0.499680658,216,CSD,10.1002/1521-3773(20010903)40:17<3211::AID-ANIE3211>3.0.CO;2-X,2015,2015/9/1,WILEY,All Solvent Removed,True,286.5,0.8623582,0.590950812,unknown,
27,28,2017[Fe][pts]3[ASR]1,ACODAA_ASR_pacman,-,N1=CC(=C2C=NN=C2)C=N1.[Fe].[N]1N=CC(=C1)C1=C[N]N=C1 MOFid-v1.pts.cat0;ACODAA_ASR_pacman,[Fe1_Type-1].[N][=C][C][=Branch1][Branch2][=C][C][=N][N][=C][Ring1][Branch1][C][=N][Ring1][#Branch2].[NH0][N][=C][C][=Branch1][Ring2][=C][Ring1][Branch1][C][=C][NH0][N][=C][Ring1][Branch1] MOFid-v2.pts.cat0;ACODAA_ASR_pacman,6.48152,5.94554,6.47765,1.01798,98.2248,1601.74,1573.44,0.0,0.0,0.0,378.246,0.6168,0.605905,0.0,0.0,0.0,3,pts,unnamed,dmd,unnamed,1,3,-P 4c 2,131,Fe,No,,PACMAN-DDEC6,12.531184,0.775254029,0.038007178,0.868673277,0.048151702,0.988903361,0.060995182,0.002136493,0.129837559,30,CSD,10.1021/acs.inorgchem.7b01818,2017,2017/9/29,ACS,All Solvent Removed,True,383.5,0.5804949,0.826666667,weak,
29,30,2012[Zn][nan]3[ASR]1,ACODIH_ASR_pacman,-,unknown,unknown,6.24271,4.80974,6.12317,1.21412,1125.02,1699.05,1399.4,0.0,0.0,0.0,3795.44,0.5732,0.47211,0.0,0.0,0.0,3,unnamed,unnamed,unnamed,unnamed,1,3,-R 3,148,Zn,Yes,Zn,PACMAN-DDEC6,12.84135007,0.794104662,0.023982907,0.90286788,0.033487819,0.949556612,0.048606917,0.001554519,0.33809456,377,CSD,10.1039/c2cc35526d,2012,2012,RSC,All Solvent Removed,True,280.1,0.89522314,0.83,unknown,
