#NSGA2
popsize 60
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	60
totalTime	77.2941
firstFrontCount	2
frontCount	58
avgEvalTime	11.4431
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
100000	906.734	0.134447	1.83541	0.632359	10000	0.522123	0.845611	0	0	0	
100000	551.413	0.948357	1.93329	0.157613	10000	0.637888	0.0369616	0	0	0	
100000	490.522	0.794275	0.369584	0.421761	10000	0.496465	0.0612192	0	0	0	
100000	959.898	0.652626	0.167852	0.849129	10000	0.363668	0.470363	0	0	0	
100000	760.163	0.73827	0.845231	0.655478	10000	0.615368	0.502573	0	0	0	
100000	41.5145	0.281385	0.187726	0.0971318	10000	0.593353	3.52488e-06	0	0	0	
100000	323.928	0.941218	0.165448	0.438744	10000	0.510334	1.8386e-06	0	0	0	
100000	797.248	0.193135	1.03055	0.445586	10000	0.48176	0.651797	0	0	0	
100000	757.14	0.280505	1.39144	0.655098	10000	0.560722	0.744404	0	0	0	
100000	503.38	0.950549	0.746733	0.585268	10000	0.62666	0.321874	0	0	0	
100000	262.544	0.505838	1.42825	0.890903	10000	0.492928	0.762871	0	0	0	
100000	147.238	0.156308	0.589266	0.840717	10000	0.198369	0.309392	0	0	0	
100000	251.09	0.920678	0.764969	0.196595	10000	0.572497	0.00356348	0	0	0	
100000	478.556	0.354626	1.67857	0.585264	10000	0.570511	0.641878	0	0	0	
100000	292.981	0.752056	1.53209	0.380446	10000	0.617016	0.231903	0	0	0	
100000	63.4106	0.530182	1.58042	0.934011	10000	0.222527	0.441175	0	0	0	
100000	474.697	0.021664	0.740533	0.162182	10000	0.358654	0.779653	0	0	0	
100000	533.248	0.172336	1.24377	0.262971	10000	0.451565	0.56144	0	0	0	
100000	750.67	0.451531	0.259261	0.228977	10000	0.41763	0.065044	0	0	0	
100000	827.559	0.537576	1.99266	0.0781755	10000	0.628793	0.231496	0	0	0	
100000	962.279	0.0145415	1.57233	0.817303	10000	0.138368	0.933004	0	0	0	
100000	405.785	0.264673	1.62013	0.431414	10000	0.51114	0.570012	0	0	0	
100000	271.165	0.152628	0.35853	0.869292	10000	0.168903	0.342558	0	0	0	
100000	153.505	0.84597	1.2819	0.350952	10000	0.5733	0.0832768	0	0	0	
100000	85.207	0.245118	0.334306	0.183908	10000	0.441857	0.000989111	0	0	0	
100000	59.1579	0.894662	1.8951	0.490864	10000	0.514384	0.0691929	0	0	0	
100000	901.053	0.371862	0.311285	0.780252	10000	0.363811	0.572021	0	0	0	
100000	409.873	0.104525	0.350749	0.942051	10000	0.132412	0.51442	0	0	0	
100000	69.1817	0.240084	0.771001	0.821194	10000	0.236128	0.129336	0	0	0	
100000	177.3	0.646133	1.49027	0.647746	10000	0.543319	0.423605	0	0	0	
100000	303.358	0.739799	0.459015	0.686775	10000	0.402732	0.207188	0	0	0	
100000	629.362	0.774623	0.254139	0.929386	10000	0.377452	0.60985	0	0	0	
100000	441.5	0.447848	0.682064	0.508509	10000	0.464845	0.340783	0	0	0	
100000	796.883	0.641432	0.819358	0.81158	10000	0.594699	0.708977	0	0	0	
100000	939.612	0.868424	1.1453	0.622475	10000	0.631764	0.429012	0	0	0	
100000	308.234	0.471505	0.537928	0.844309	10000	0.291912	0.477706	0	0	0	
100000	179.001	0.233111	0.927827	0.311102	10000	0.32041	0.215569	0	0	0	
