coreid,q_Xe,b_Xe,U_Xe,R2,q_Kr,b_Kr,U_Kr,R2,Heat_Xe,Heat_Kr,mofid-v1,mofid-v2,LCD (Å),PLD (Å),LFPD (Å),Density (g/cm3),ASA (A2),ASA (m2/cm3),ASA (m2/g),NASA (A2),NASA (m2/cm3),NASA (m2/g),PV (A3),VF,PV (cm3/g),NAV (A3),NAV_VF,NPV (cm3/g),structure_dimension,topology(SingleNodes),topology(SingleNodes)-zeo,topology(AllNodes),topology(AllNodes)-zeo,catenation,dimension_by_topo,hall,number_spacegroup,Metal Types,Has OMS,OMS Types,Charge,average_atomic_mass,Heat_capacity@300K (J/g/K),std @ 300 K (J/g/K),Heat_capacity@350K (J/g/K),std @ 350 K (J/g/K),Heat_capacity@400K (J/g/K),std @ 400 K (J/g/K),k_cp (J/g/K/K),cp0 (J/g/K),natoms,Source,DOI,Year,Time,Publication,Extension,unmodified,Thermal_stability (℃),Solvent_stability,Water_stability,KH_Classes,memo
1996[Zn][dia]3[ASR]1,3.498979597,1.35E-09,-30034.94296,0.998873045,3.459303016,5.54E-11,-30030.00979,0.999796149,-34.4325227,-25.43646324,[O-]C(=O)CC[N]12CC[N](CC1)(CC2)CCC(=O)[O-].[Zn] MOFid-v1.dia.cat1;TONWUO_ASR_pacman,unknown,4.69192,4.11913,4.69192,1.30005,174.7,591.587,455.051,0,0,0,1261.55,0.4272,0.328604,0,0,0,3,dia,unnamed,dia,unnamed,6,3,-C 2yc,15,Zn,No,N/A,PACMAN-DDEC6,7.506187013,1.123426241,0.087207548,1.12713607,0.154589424,1.186871732,0.148496503,0.000634455,0.92375213,308,CSD,10.1016/0277-5387(96)00127-1,1996,1996/8/1,SciDirect,All Solvent Removed,FALSE,329.3,0.35811317,0.39,strong,
2002[Cd][nan]3[ASR]1,2.008287344,9.62E-10,-29959.61836,0.998805424,2.04178835,4.49E-11,-29985.35384,0.999941974,-32.16118997,-23.21368457,unknown,[Cd1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;ODOXEK_ASR_pacman,5.23075,4.24424,5.23075,1.86723,45.3877,266.212,142.57,49.4058,289.779,155.192,721.194,0.423,0.226539,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,P 3 -2c,159,Cd,No,N/A,PACMAN-DDEC6,16.81723789,0.684944849,0.007932671,0.755339212,0.022150778,0.801565397,0.023524772,0.001166205,0.339111234,114,CSD,10.1021/ic010794y,2002,2002/2/21,ACS,All Solvent Removed,FALSE,303.8,0.93636155,0.344666667,weak,
2005[Zn][nan]3[ASR]7,1.523710871,1.44E-09,-29949.62091,0.984282701,1.536920751,7.15E-11,-29980.11827,0.99690155,-34.38432578,-24.78850055,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.unknown.cat0;YAPXIX_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;YAPXIX_ASR_pacman,5.20162,4.9041,5.1884,1.52841,64.7217,217.913,142.575,93.4273,314.562,205.81,1319.9,0.4444,0.290759,0,0,0,3,unstable,unnamed,unnamed,unnamed,1,3,P 64 2c (0 0 -1),181,Zn,Yes,Zn,PACMAN-DDEC6,12.65592887,0.828254132,0.019430207,0.940283474,0.040742314,0.988210109,0.046953612,0.00159956,0.359069988,216,CSD,10.1039/b415960h,2005,2005,RSC,All Solvent Removed,FALSE,483,0.92732006,0.81,weak,
2008[Fe][nan]3[ASR]1,1.857462585,1.37E-09,-29968.8666,0.996025964,1.898684385,6.67E-11,-29950.42469,0.998636964,-32.23616565,-23.51423404,[Fe].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-] MOFid-v1.unknown.cat0;TONBII_ASR_pacman,[Fe2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][Ring2][=C][Ring1][#Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;TONBII_ASR_pacman,4.87981,4.62865,4.87981,1.60547,32.9103,589.195,366.991,0,0,0,215.606,0.386,0.240428,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Fe,No,N/A,PACMAN-DDEC6,11.73994087,0.851328537,0.024884642,0.948090495,0.048737645,1.001313679,0.056746553,0.001499851,0.408629572,46,CSD,10.1039/b814180k,2008,2008,RSC,All Solvent Removed,TRUE,386,0.36034498,0.35,weak,
2009[Zn][nan]3[ASR]11,1.515138605,1.31E-09,-29911.61708,0.982724752,1.539917916,6.83E-11,-29980.93866,0.997199946,-33.98108742,-24.49255147,unknown,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;PUQXUV_ASR_pacman,5.37896,5.08858,5.37896,1.50363,67.9369,225.03,149.657,94.4869,312.972,208.144,1351.92,0.4478,0.297812,0,0,0,3,unstable,unnamed,unnamed,unnamed,1,3,P 62 2c (0 0 1),180,Zn,Yes,Zn,PACMAN-DDEC6,12.65592887,0.825444054,0.021251459,0.932169588,0.04167119,0.987776029,0.047136129,0.00162332,0.346967977,216,CSD,10.1021/cg901181x,2009,2009/12/1,ACS,All Solvent Removed,FALSE,478.9,0.92712945,0.82,weak,
2009[Zn][nan]3[ASR]12,1.518606837,1.24E-09,-29971.13129,0.98259367,1.533784313,6.83E-11,-29978.64547,0.996869657,-33.94070775,-24.46505521,[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn] MOFid-v1.unknown.cat0;PUQYAC_ASR_pacman,[Zn1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;PUQYAC_ASR_pacman,5.37609,5.0812,5.37609,1.50028,72.0357,238.074,158.687,98.7043,326.212,217.434,1377.94,0.4554,0.303544,0,0,0,3,unstable,unnamed,unnamed,unnamed,1,3,P 64 2c (0 0 -1),181,Zn,Yes,Zn,PACMAN-DDEC6,12.65592887,0.824048122,0.021347078,0.934358002,0.04157599,0.989620343,0.047506437,0.001655722,0.336506054,216,CSD,10.1021/cg901181x,2009,2009/12/1,ACS,All Solvent Removed,FALSE,480,0.9270444,0.82,weak,
2012[Ni][dia]3[ASR]1,4.723236415,1.90E-09,-29993.13369,0.993585021,4.791510541,9.50E-11,-29934.15491,0.998512228,-34.61794149,-25.84597006,unknown,[C2Ni1O4_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][NH1][C][=N][Ring1][=Branch1] MOFid-v2.dia.cat0;BEDHOJ_ASR_pacman,4.76141,4.43727,4.74787,1.31454,165.483,859.655,653.96,0,0,0,907.059,0.4712,0.358453,0,0,0,3,dia,unnamed,dia,unnamed,3,3,P 4abw 2nw,92,Ni,No,N/A,PACMAN-DDEC6,10.88481143,0.874095184,0.028178933,0.986275402,0.059893892,1.04085243,0.069012173,0.001667572,0.383423978,140,CSD,10.1002/cssc.201100702,2012,2012/6/15,WILEY,All Solvent Removed,TRUE,332.1,0.77606606,0.81,weak,
2013[Cu][nan]3[ASR]11,1.036086641,1.60E-09,-29955.013,0.992326271,1.053087376,8.28E-11,-29960.4596,0.998114376,-33.73592898,-24.91297753,S=[C]1=NN=C([N]1)c1ccncc1.[Cu][Cu] MOFid-v1.unknown.cat0;XENZEX_ASR_pacman,unknown,4.80678,4.49745,4.7994,2.22493,31.9803,353.203,158.748,0,0,0,313.824,0.3466,0.15578,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,P 4c,77,Cu,Yes,Cu,PACMAN-DDEC6,16.84947,0.663734811,0.00510219,0.73759125,0.004433245,0.80147044,0.004204633,0.001377356,0.252190798,72,CSD,10.1039/c2ce26350e,2013,2013,RSC,All Solvent Removed,FALSE,420.6,0.6170212,0.326,none,
2014[Cd][nan]3[ASR]12,1.260297582,2.65E-09,-29941.42807,0.988705794,1.37169614,9.36E-11,-29968.62872,0.996920854,-34.15361748,-24.84326579,[Cd].[O-]C(=O)c1cccc(c1)C1=CC(=CN[CH]1)c1cccc(c1)C(=O)[O-] MOFid-v1.unknown.cat0;SIVWUR_ASR_pacman,[Cd1_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=Branch1][=Branch1][=C][N][CH1][Ring1][=Branch1][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1] MOFid-v2.UNKNOWN.cat0;SIVWUR_ASR_pacman,4.89061,4.05163,4.87584,1.7261,78.1061,471.245,273.012,0,0,0,590.712,0.3564,0.206477,0,0,0,3,unnamed,unnamed,unnamed,unnamed,1,3,-C 2yc,15,Cd,No,N/A,PACMAN-DDEC6,11.64091568,0.791882014,0.024076761,0.877366042,0.057482942,0.933046851,0.067295416,0.001411648,0.373354709,148,CSD,10.1016/j.poly.2013.10.022,2014,2014/1/1,SciDirect,All Solvent Removed,FALSE,381.1,0.9298414,0.81,weak,
2015[Zn][nan]2[ASR]1,1.741494473,1.22E-09,-29896.1518,0.983647585,1.87191989,6.56E-11,-29965.04494,0.996731023,-32.76413253,-24.13410004,[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].[OH].[Zn] MOFid-v1.unknown.cat1;c4qi00175c2_2_ASR_pacman,[Zn1_Type-1].[Zn2_Type-1].[O-1][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O-1].[OH1] MOFid-v2.UNKNOWN.cat1;c4qi00175c2_2_ASR_pacman,4.82391,4.37452,4.80722,1.69475,92.7164,564.099,332.851,0,0,0,662.708,0.4032,0.237912,0,0,0,2,unnamed,unnamed,unnamed,unnamed,2,3,-P 2ybc,14,Zn,Yes,Zn,PACMAN-DDEC6,12.90314031,0.79748843,0.023806279,0.89485818,0.049168784,0.939342579,0.056476409,0.001418541,0.380740211,130,SI,10.1039/C4QI00175C,2015,2015,RSC,All Solvent Removed,FALSE,409.1,0.7428133,0.536071429,none,
