NAME,Xe_purity
05001N2_ddec,0.39674824
07000N2_ddec,0.37352171
07001N2_ddec,0.57102551
07002N2_ddec,0.42128226
07010N3_ddec,0.37760834
07011N3_ddec,0.35456316
07012N3_ddec,0.28221902
07013N3_ddec,0.28806709
08000N3_ddec,0.46269653
08010N2_ddec,0.47834434
08011N2_ddec,0.45383915
08012N2_ddec,0.40749507
08013N2_ddec,0.46130001
08020N2_ddec,0.5534924
08030N2_ddec,0.40235809
09000N3_ddec,0.41147571
09010N2_ddec,0.3810245
10000N2_ddec,0.50840875
10010N2_ddec,0.40970017
10020N2_ddec,0.42549864
11000N2_ddec,0.50057894
11001N2_ddec,0.43169364
11002N2_ddec,0.36440257
11003N2_ddec,0.36440583
11010N2_ddec,0.45220818
11020N2_ddec,0.41003965
11030N2_ddec,0.4012436
11031N2_ddec,0.53741529
11040N2_ddec,0.35063997
12000N2_ddec,0.42772371
12001N2_ddec,0.44856924
12010N2_ddec,0.39816199
12011N2_ddec,0.39898166
12012N2_ddec,0.39953544
12020N2_ddec,0.42275314
12022N2_ddec,0.37066402
12023N2_ddec,0.36667876
12024N2_ddec,0.35669613
12030N2_ddec,0.46239081
12040N2_ddec,0.3977524
12050N2_ddec,0.53858684
12060N2_ddec,0.40828919
12061N2_ddec,0.40904737
12062N2_ddec,0.4196267
13000N2_ddec,0.52755534
13010N2_ddec,0.35506319
13011N2_ddec,0.35562764
13012N2_ddec,0.35309578
13020N2_ddec,0.35828372
13040N3_ddec,0.53230904
13050N2_ddec,0.43353168
13060N2_ddec,0.4592718
13070N2_ddec,0.4156234
13071N2_ddec,0.39354864
13072N2_ddec,0.39017875
13073N2_ddec,0.41712004
13074N2_ddec,0.42514308
13075N2_ddec,0.42290033
13076N2_ddec,0.42065208
13077N2_ddec,0.45429329
13078N2_ddec,0.48369627
13080N2_ddec,0.50453825
13090N2_ddec,0.39987052
13100N2_ddec,0.38715316
13110N2_ddec,0.4313997
13120N2_ddec,0.41437566
13121N2_ddec,0.3953787
13122N2_ddec,0.36011322
13123N2_ddec,0.43111992
13130N2_ddec,0.34272748
13140N2_ddec,0.57229102
13141N2_ddec,0.41936511
13142N2_ddec,0.48397383
13150N2_ddec,0.39120849
13160N2_ddec,0.36792005
13161N2_ddec,0.48530604
13170N2_ddec,0.41236565
13180N3_ddec,0.51108654
13181N3_ddec,0.54562038
13182N3_ddec,0.5171968
13190N2_ddec,0.41314686
13191N2_ddec,0.36478808
14000N2_ddec,0.49100547
