P1,U1
0.025850873,0.025974026
0.079258098,0.097402597
0.106825646,0.12987013
0.134393193,0.162337662
0.148175101,0.181818182
0.167129422,0.201298701
0.20158979,0.24025974
0.229157337,0.272727273
0.251548739,0.311688312
0.308419167,0.357142857
0.370450814,0.422077922
0.389397671,0.454545455
0.472115241,0.525974026
0.489352888,0.532467532
0.553108673,0.597402597
0.591021048,0.62987013
0.632381699,0.662337662
0.709934319,0.720779221
0.794379758,0.785714286
0.832292133,0.818181818
0.875376922,0.850649351
0.9270824,0.883116883
1.00636289,0.935064935
