P1,U1
0.009302073,0.00396562
0.043545667,0.043491269
0.052657346,0.043523908
0.10057526,0.086680629
0.148499973,0.133419464
0.200987325,0.183756732
0.251196758,0.23408584
0.301392591,0.277250721
0.351615623,0.334744057
0.397242017,0.37072839
0.44743105,0.410311157
0.499904803,0.453484197
0.550100636,0.496649078
0.60028287,0.532649731
0.655014144,0.565084589
0.698376217,0.60822499
0.753087091,0.629913507
0.803262525,0.662332046
0.851160039,0.694742425
0.899043954,0.719988576
0.949205788,0.745242887
0.983415384,0.766857967
0.997103302,0.777653267
