T,P1,U1
298,0.004931507,0.046160587
,0.011506849,0.101550954
,0.021369863,0.220883839
,0.039452055,0.391331016
,0.049315068,0.493606332
,0.096986301,0.86426965
,0.149589041,1.145345679
,0.200547945,1.33261676
,0.249863014,1.472991208
,0.299178082,1.574986126
,0.350136986,1.647118614
,0.402739726,1.697917458
,0.452054795,1.744475275
,0.499726027,1.786780384
,0.550684932,1.824797733
,0.6,1.845769197
,0.649315068,1.866740661
,0.700273973,1.883436049
,0.749589041,1.904407512
,0.800547945,1.916838508
,0.849863014,1.925016795
,0.899178082,1.945988258
,0.951780822,1.949878786
,0.978082192,1.958220638
,0.997808219,1.958080439
