P1,U1
0.013136289,0.008896797
0.016420361,0.03202847
0.026272578,0.067615658
0.039408867,0.115658363
0.052545156,0.158362989
0.065681445,0.193950178
0.087027915,0.254448399
0.116584565,0.309608541
0.134646962,0.348754448
0.164203612,0.384341637
0.185550082,0.428825623
0.223316913,0.473309609
0.26272578,0.512455516
0.330049261,0.56227758
0.395730706,0.606761566
0.459770115,0.644128114
0.527093596,0.670818505
0.592775041,0.702846975
0.658456486,0.720640569
0.724137931,0.740213523
0.793103448,0.756227758
0.858784893,0.775800712
0.91954023,0.791814947
0.985221675,0.804270463
1.054187192,0.816725979
