T,P1,U1
298,0,0.200511945
,0.005136986,0.349829352
,0.008561644,0.571672355
,0.008561644,0.610068259
,0.010273973,0.661262799
,0.010273973,0.742320819
,0.017123288,0.819112628
,0.029109589,0.934300341
,0.037671233,0.998293515
,0.058219178,1.028156997
,0.077054795,1.053754266
,0.095890411,1.079351536
,0.114726027,1.113481229
,0.136986301,1.130546075
,0.160958904,1.156143345
,0.186643836,1.16894198
,0.227739726,1.194539249
,0.267123288,1.207337884
,0.335616438,1.245733788
,0.404109589,1.258532423
,0.467465753,1.267064846
,0.530821918,1.27559727
,0.602739726,1.288395904
,0.664383562,1.296928328
,0.73630137,1.318259386
,0.803082192,1.318259386
,0.864726027,1.33105802
,0.928082192,1.335324232
,1.001712329,1.348122867
