T,P1,U1
298,0,0
,0.011364,0.08421
,0.019886,0.2
,0.03125,0.294737
,0.039773,0.389474
,0.051136,0.484211
,0.099432,0.863158
,0.153409,1.2
,0.161932,1.27368
,0.207386,1.47368
,0.252841,1.66316
,0.255682,1.72632
,0.303977,1.84211
,0.352273,1.98947
,0.357955,2.06316
,0.409091,2.12632
,0.463068,2.24211
,0.46875,2.29474
,0.508523,2.32632
,0.559659,2.41053
,0.565341,2.45263
,0.613636,2.47368
,0.661932,2.56842
,0.664773,2.54737
,0.715909,2.6
,0.767045,2.67368
,0.818182,2.68421
,0.860795,2.74737
,0.869318,2.71579
,0.920455,2.75789
,0.954545,2.81053
,0.96875,2.78947
