Filename,PLD,LCD,Density,ASA_m2/cm3,AV_VF,Xe_henry,Kr_henry,Xe_heat,Xe_M_pre,Kr_heat,Kr_M_pre,Xe_K_cal,Kr_K_cal
05001N2_ddec,19.11156,19.7302,0.585485,1121.03,0.7264,7.49E-06,2.64E-06,-13.32464067,16.458717,-9.635106612,15.395548,0.0455078,0.017147814
07000N2_ddec,25.76446,26.16246,0.458062,960.045,0.7796,7.10E-06,2.75E-06,-12.53833061,23.569252,-8.819374244,22.04803,0.030123994,0.01247277
07001N2_ddec,7.19365,7.82083,1.10023,1212.77,0.491,5.88E-05,9.90E-06,-20.92043436,2.7866359,-15.35040174,2.7112353,2.110071143,0.365147208
07002N2_ddec,14.44648,14.84694,0.703127,1232.24,0.6578,8.72E-06,2.77E-06,-14.05496693,10.739341,-10.39933508,12.187327,0.081196789,0.022728528
07010N3_ddec,8.05043,9.33026,0.421687,2165.58,0.7716,1.26E-05,4.88E-06,-11.78438726,37.105682,-9.064412173,43.943428,0.033957064,0.011105187
07011N3_ddec,8.65629,9.94867,0.383123,2081.14,0.792,1.04E-05,4.48E-06,-10.91202295,44.813236,-8.439742969,44.625767,0.023207429,0.010039043
07012N3_ddec,15.98748,18.94595,0.180984,1163.54,0.9034,7.85E-06,4.77E-06,-8.00952899,148.71864,-6.036504786,72.05935,0.005278424,0.006619543
07013N3_ddec,18.97041,27.19302,0.171077,1072.03,0.9146,8.72E-06,5.11E-06,-8.589401857,223.02727,-6.238265641,91.533646,0.003909836,0.005582647
08000N3_ddec,5.72195,10.04139,0.519987,2268.92,0.7302,2.33E-05,6.20E-06,-15.81705481,16.836948,-11.64925874,16.50093,0.138386126,0.03757364
08010N2_ddec,4.27298,4.7838,1.14317,367.083,0.4102,1.95E-06,4.83E-07,-18.78288926,0.810909,-14.23845528,0.82442045,0.240470879,0.058586611
08011N2_ddec,6.66061,7.51918,0.98834,1064.82,0.5052,4.19E-06,1.16E-06,-16.64893594,2.3340828,-12.28794293,1.8293196,0.179513769,0.063411555
08012N2_ddec,9.4509,9.8332,0.874709,1397.84,0.5766,4.81E-06,1.61E-06,-15.47141047,6.083268,-11.57596471,7.130524,0.079069342,0.022578986
08013N2_ddec,12.61914,13.08046,0.756007,1393.38,0.6526,1.25E-05,3.31E-06,-16.31922776,9.252469,-11.79282223,10.941657,0.135099075,0.03025136
08020N2_ddec,7.2429,7.90088,1.00239,1149.75,0.5232,2.33E-05,4.31E-06,-18.1518986,2.8521326,-13.57986329,2.621594,0.816932565,0.164403794
08030N2_ddec,24.43121,24.73597,0.518345,1003.43,0.758,8.07E-06,2.75E-06,-13.80932132,17.382324,-9.614620647,17.260672,0.046426473,0.015932172
09000N3_ddec,9.28044,9.64438,0.501059,2087.49,0.7342,1.56E-05,5.14E-06,-16.8085582,20.683943,-12.8560819,20.932753,0.075420823,0.024554821
09010N2_ddec,13.23477,13.63753,0.731022,1345.2,0.6308,3.98E-06,1.49E-06,-13.88675355,8.3362665,-10.11368887,8.524782,0.047743195,0.017478453
10000N2_ddec,7.88759,8.64115,0.9605,1254.7,0.5302,1.36E-05,3.02E-06,-17.20648516,3.4292545,-12.77441855,2.90468,0.396587655,0.103970145
10010N2_ddec,14.1481,14.38798,0.759474,1191.19,0.6466,6.20E-06,2.07E-06,-13.54635431,9.783669,-9.919731131,10.274426,0.063370909,0.020147111
10020N2_ddec,13.67833,14.12635,0.635868,1281.33,0.6708,9.82E-06,3.06E-06,-14.4452203,12.341773,-10.61777092,12.570914,0.079567174,0.024341905
11000N2_ddec,13.02845,13.36177,0.596628,1802.32,0.7098,1.91E-05,4.24E-06,-18.44274257,10.683996,-13.00191498,12.234407,0.178772062,0.034656359
11001N2_ddec,4.85715,6.3075,0.736441,1702.28,0.6326,6.80E-06,2.05E-06,-16.88634438,6.362402,-12.73773314,7.0267596,0.106877874,0.029174187
11002N2_ddec,27.01523,27.2536,0.427085,997.785,0.7858,6.06E-06,2.43E-06,-12.38745884,26.240753,-8.448167537,27.996138,0.023093849,0.008679769
11003N2_ddec,12.3481,13.11535,0.493244,1811.05,0.7448,5.58E-06,2.22E-06,-14.92550199,19.930319,-10.53537088,18.418022,0.027997545,0.012053412
11010N2_ddec,11.10643,11.44013,0.935537,1276.15,0.6142,8.12E-06,2.25E-06,-15.41296433,7.7301764,-11.19715193,8.120591,0.105042881,0.027707343
11020N2_ddec,12.38825,12.79729,0.61879,1412.35,0.6886,7.77E-06,2.58E-06,-13.96619938,12.339096,-10.1630247,13.83546,0.062970577,0.018647736
11030N2_ddec,14.70511,15.41679,0.552143,1283.08,0.7238,7.48E-06,2.57E-06,-13.85847753,19.080338,-9.84319315,18.616262,0.03920266,0.013805134
11031N2_ddec,26.26796,26.63908,0.299763,1278.41,0.8518,2.46E-05,4.35E-06,-25.103461,34.137047,-15.32274842,28.019632,0.072062472,0.015524829
